,55137.63365,2756.881682,,,,,,,,,,,,,,,,,,,,
Truck,49183,0.978109231,Poor,1,5,Electric,Manual,2500,35120,0.956457853,25/6/2023,26/2/2026,Second,18476,8,3,13.06811245,0.975979525,New,Good,Weak,1
Truck,32865,1.036423715,Average,0,8,Petrol,Automatic,2000,85667,0.968581764,6/2/2024,22/3/2026,First,21508,3,2,15.02839675,1.018661893,New,Worn Out,Weak,1
Truck,51881,0.966941591,Average,1,10,Diesel,Manual,2500,53621,0.982368369,1/10/2023,11/7/2025,Third,22537,6,2,10.35284006,0.990887928,Good,Worn Out,Weak,1
Truck,64605,1.006439218,Good,0,7,Electric,Manual,2500,117210,0.9862958,24/12/2023,11/11/2024,First,28903,9,3,15.36555823,0.960949586,Good,Good,New,1
Truck,32357,1.018869475,Good,1,5,Electric,Automatic,2500,14696,0.987500993,4/6/2023,16/12/2024,Second,19164,5,0,13.44818788,0.966959794,New,Worn Out,Weak,1
Truck,51239,1.028070611,Poor,2,5,Petrol,Automatic,1000,77785,0.989271088,13/7/2023,6/10/2024,Second,11508,8,2,15.25750554,1.000648985,Good,New,Good,1
Truck,61753,0.997305075,Average,0,9,Petrol,Manual,1000,126401,0.992145563,17/11/2023,17/3/2026,Second,23864,4,0,18.75021249,0.955626287,New,Good,Weak,1
Truck,65337,0.962915199,Good,2,1,Petrol,Automatic,1000,61391,1.032168946,8/4/2023,30/5/2025,Second,21215,10,2,15.84615194,1.04298738,Worn Out,Worn Out,Good,1
Truck,55552,1.029453262,Good,0,8,Petrol,Manual,800,94966,1.048143579,30/12/2023,4/9/2025,First,9459,10,3,11.63570675,0.958006889,Good,Worn Out,New,1
Truck,56780,1.00790879,Average,5,8,Diesel,Automatic,1500,12970,1.036680581,3/5/2023,15/9/2025,First,24409,1,0,19.5557918,1.011885792,Worn Out,Worn Out,New,1
Truck,79270,0.952860632,Poor,4,10,Electric,Automatic,800,66780,1.026711375,1/7/2023,27/1/2026,First,11120,5,3,18.37114081,0.999343976,Good,Worn Out,New,1
Truck,68339,1.047094672,Good,2,6,Petrol,Automatic,1000,148313,0.98380363,19/10/2023,28/2/2026,First,12735,4,0,11.940936,1.03783132,New,Worn Out,Good,1
Truck,56385,1.035282791,Good,1,5,Petrol,Automatic,800,97041,0.993173695,13/5/2023,27/2/2025,Second,18557,1,3,16.76571544,1.033834912,Worn Out,New,Good,0
Truck,47717,1.022504241,Good,5,8,Petrol,Manual,1000,54261,0.958950334,16/8/2023,26/6/2025,Third,24608,9,2,14.60103136,1.006756649,Good,New,Weak,1
Truck,64983,0.970615927,Good,2,4,Electric,Automatic,2500,9017,1.042393878,10/12/2023,8/2/2026,Second,11425,3,0,10.57269315,0.967068535,Worn Out,Worn Out,Weak,1
Truck,37870,1.006444949,Poor,2,7,Diesel,Automatic,1500,104602,1.029390657,23/5/2023,9/4/2025,First,7469,8,0,16.03986136,1.021126656,New,Good,Good,1
Truck,55499,0.975966902,Poor,1,3,Petrol,Manual,800,137606,0.999593458,4/6/2023,26/6/2025,Second,21898,5,2,15.72393928,0.962508767,New,New,Weak,1
Truck,79937,0.985302819,Average,2,4,Diesel,Automatic,1000,122056,1.007854207,4/12/2023,13/6/2024,Third,9368,10,2,19.90166184,0.982672418,Good,Good,Good,1
Truck,72360,1.016712008,Poor,0,6,Petrol,Automatic,2500,141831,1.038943328,5/10/2023,2/11/2024,Third,20168,3,2,11.86595924,0.968597698,Good,Good,Good,0
Truck,39658,0.972428141,Average,1,3,Diesel,Automatic,800,91765,0.962567338,4/8/2023,11/10/2024,Third,9156,9,2,10.43117918,1.04528775,Worn Out,New,New,1
Truck,73116,1.027459655,Good,0,10,Diesel,Manual,1500,139404,1.036370248,6/2/2024,9/1/2025,First,15536,3,3,13.40452584,1.031617795,New,Worn Out,New,1
Truck,37503,1.036223932,Good,0,6,Diesel,Automatic,800,88134,1.013308601,3/10/2023,23/9/2025,Second,19629,6,3,18.80973082,0.958898587,Good,Good,Weak,1
Truck,37857,0.983938493,Good,3,7,Diesel,Manual,1500,118631,0.954343135,27/5/2023,10/6/2025,First,17135,10,2,18.12572652,1.026355256,Worn Out,Worn Out,Weak,1
Truck,50057,1.023959477,Average,3,3,Electric,Manual,1500,90229,1.042448094,22/7/2023,20/8/2024,Second,24872,5,0,12.40984105,1.039110698,New,New,Weak,1
Truck,62646,0.978123754,Poor,4,3,Petrol,Automatic,800,87026,0.989790531,5/12/2023,29/5/2024,First,18685,2,1,15.28117113,1.037867643,New,Worn Out,New,1
Truck,45484,1.049259967,Good,4,4,Electric,Manual,1500,31908,0.996817396,12/6/2023,6/3/2025,Third,22919,5,0,12.00795378,1.043841277,New,New,Weak,1
Truck,62905,1.011998667,Average,0,1,Diesel,Manual,1000,2004,1.01093588,9/2/2024,11/8/2025,Second,10497,3,2,13.03381582,1.00792184,New,Worn Out,New,1
Truck,63108,0.957971756,Average,5,5,Electric,Manual,800,51714,1.004376747,21/1/2024,18/7/2025,Third,12160,1,0,14.71146459,1.042139481,New,Worn Out,New,1
Truck,33381,1.011806445,Average,2,4,Electric,Automatic,800,94878,0.996426569,4/10/2023,16/2/2026,Second,10377,2,3,13.52696757,1.037110594,New,Worn Out,Good,1
Truck,63543,0.994798576,Good,2,5,Petrol,Automatic,1500,83760,1.038220215,17/2/2024,8/10/2025,Second,26406,2,2,15.4153714,0.985842359,Worn Out,New,New,0
Truck,71720,1.032250235,Average,3,5,Petrol,Manual,800,7675,0.958171375,3/7/2023,12/11/2024,First,12798,9,3,12.75931443,1.037638167,Worn Out,New,Good,1
Truck,33413,1.009551014,Poor,3,4,Diesel,Automatic,1500,43827,0.980124654,6/1/2024,3/11/2025,Third,29992,8,1,17.40860287,0.970107115,New,Worn Out,Good,1
Truck,52112,0.994708556,Good,4,3,Petrol,Automatic,1000,105814,1.006206247,15/4/2023,31/10/2024,Third,24330,3,1,16.98087366,0.983527448,Worn Out,Good,New,1
Truck,41741,1.007874906,Average,4,8,Electric,Automatic,2500,121868,1.030047927,4/4/2023,21/10/2025,Second,19796,6,1,11.82147941,1.022060303,New,New,Weak,1
Truck,56915,1.045658041,Good,1,10,Diesel,Automatic,2000,109391,1.000286691,17/10/2023,13/3/2026,Third,21212,6,1,11.40077465,0.985894699,Worn Out,Worn Out,Good,1
Truck,78113,0.994813016,Good,3,10,Petrol,Manual,1000,87999,1.003647442,27/5/2023,11/11/2025,Second,5290,3,0,16.8445274,0.979686689,Good,Worn Out,Good,1
Truck,50770,1.025175159,Average,5,4,Diesel,Manual,800,50240,1.001339959,18/7/2023,5/3/2025,Second,21333,1,1,13.14493454,1.010084699,Good,Good,Weak,1
Truck,77641,1.035115627,Average,4,3,Diesel,Manual,2500,93068,1.031629397,21/12/2023,25/1/2025,Third,18028,2,2,14.59753271,0.951835698,New,Good,Good,1
Truck,63745,0.95241495,Good,5,5,Petrol,Automatic,1000,76973,0.989733901,5/4/2023,17/9/2024,First,12397,10,3,12.23947775,0.955294501,New,Worn Out,New,1
Truck,50708,1.039071809,Average,4,7,Diesel,Manual,2500,29027,1.01827907,15/6/2023,22/5/2024,Third,29925,8,2,13.24237658,1.04820884,Good,Good,Weak,1
Truck,53385,0.959593156,Poor,0,1,Electric,Manual,2000,63789,0.959439803,27/7/2023,17/2/2025,Third,10390,5,2,10.63761524,1.025712432,New,New,Weak,1
Truck,61160,0.986726213,Good,2,5,Electric,Automatic,2500,61160,1.02035656,10/6/2023,2/1/2025,First,10757,5,0,13.69235791,1.014022427,New,New,New,0
Truck,72715,1.010424199,Average,1,7,Diesel,Manual,800,58336,1.002401813,4/12/2023,9/5/2024,Second,24811,1,2,15.96296438,1.021127602,New,New,Weak,1
Truck,31130,0.992650721,Good,2,1,Electric,Manual,2500,133428,1.041231937,1/12/2023,11/1/2025,Second,8632,6,2,15.75962001,0.982658626,Worn Out,Worn Out,New,1
Truck,56969,0.959040075,Average,5,10,Electric,Automatic,800,99314,1.04451954,1/2/2024,13/8/2025,Third,23426,9,0,19.65782845,0.972168942,Good,Good,Weak,1
Truck,36402,0.998557333,Poor,5,1,Petrol,Manual,1500,56999,1.030062685,12/9/2023,29/10/2024,Third,9488,5,2,10.534297,0.999815547,Worn Out,Worn Out,Weak,1
Truck,42489,0.996372872,Poor,5,3,Electric,Manual,1500,91238,1.014206127,25/9/2023,28/12/2024,First,13827,6,0,10.55305793,1.045655844,Good,New,Weak,1
Truck,51992,1.048126053,Good,4,4,Electric,Automatic,2000,54089,0.950764973,9/7/2023,16/7/2025,Second,26277,10,0,16.77264402,1.047837284,New,New,New,1
Truck,56896,1.044107235,Poor,5,5,Electric,Manual,800,12974,1.001775827,11/9/2023,30/6/2024,Second,8611,1,3,12.011243,1.039373776,New,New,Weak,1
Truck,48302,0.997069343,Good,1,9,Diesel,Automatic,2000,54462,0.97198751,6/5/2023,16/10/2025,Second,5920,5,2,11.05058488,1.002843449,Good,Good,Weak,1
Truck,76890,1.024858561,Average,3,8,Electric,Automatic,2000,73989,0.990269029,1/7/2023,24/1/2026,Second,12159,3,1,14.73327228,0.964664672,Good,New,Weak,1
Truck,48034,1.034729309,Poor,4,10,Petrol,Manual,1500,68817,1.045111733,5/9/2023,2/10/2025,Second,15923,7,3,12.61145648,1.013502665,Good,Good,New,1
Truck,70346,1.00293958,Poor,4,7,Diesel,Automatic,800,63139,1.033195309,22/1/2024,13/3/2026,Third,27356,10,0,16.95437599,0.979870783,New,New,Weak,1
Truck,67738,0.994994195,Average,5,6,Electric,Manual,2000,133490,0.989150595,16/7/2023,23/2/2025,First,22647,3,2,15.16855017,1.049034587,Good,Good,Weak,1
Truck,50881,0.973254094,Good,4,2,Electric,Automatic,1000,8563,1.017103044,17/9/2023,13/3/2025,Second,18055,1,1,10.2106724,1.011314217,Good,Worn Out,New,1
Truck,63699,0.952556169,Poor,3,1,Petrol,Automatic,800,54027,0.958968779,21/2/2024,7/5/2024,Third,29973,6,0,13.6677207,1.015272637,Worn Out,New,New,1
Truck,32205,1.001285616,Average,0,3,Electric,Manual,2000,40063,0.988087891,18/1/2024,6/5/2025,First,27552,10,2,12.48564233,0.978146544,Good,Worn Out,New,1
Truck,40455,1.023443398,Average,5,8,Electric,Manual,800,101177,1.007008046,20/6/2023,25/12/2024,Second,17589,6,3,17.23478766,0.971907718,Good,New,New,1
Truck,74904,1.016368502,Good,2,2,Electric,Manual,800,86710,1.017607473,17/8/2023,9/1/2026,Second,12975,6,1,16.17683359,0.971429104,Good,Good,Weak,1
Truck,66949,1.001207239,Poor,4,9,Diesel,Automatic,2000,110365,0.970209968,14/7/2023,18/6/2025,Second,24778,10,2,14.53076836,0.960495484,Good,Good,Good,1
Truck,55125,0.985682386,Poor,3,4,Diesel,Automatic,1500,141884,0.973666939,8/12/2023,20/12/2024,First,8774,8,2,18.79215281,1.040809491,Worn Out,Good,Good,1
Truck,66497,0.979401139,Average,0,6,Diesel,Manual,2500,97192,0.976307972,11/5/2023,25/6/2024,Second,20097,10,1,19.12612072,0.950117872,Good,Worn Out,Good,1
Truck,48975,0.992911173,Average,2,7,Diesel,Automatic,800,78744,0.999505114,8/8/2023,6/3/2026,Third,6006,7,2,18.11706703,1.019027704,Good,New,Weak,1
Truck,63849,1.027683718,Average,1,10,Electric,Manual,2500,55367,1.004029515,21/4/2023,12/5/2024,First,6116,8,1,18.52020618,1.042442006,New,Worn Out,Good,1
Truck,71391,1.045321648,Average,1,6,Petrol,Automatic,1000,129211,1.028617114,9/7/2023,28/9/2024,Second,28400,1,3,19.00468898,0.985530185,Worn Out,Worn Out,Weak,1
Truck,67672,1.012322217,Poor,2,1,Diesel,Manual,2500,108600,1.000072455,17/4/2023,11/8/2024,First,18509,10,3,17.77700752,0.965368574,Good,Worn Out,Weak,1
Truck,61193,0.958620145,Average,1,6,Diesel,Automatic,1000,16798,0.977071895,15/6/2023,2/1/2026,Second,24923,7,1,17.14609995,0.969375451,Good,Good,Good,0
Truck,70482,0.968148296,Average,3,2,Diesel,Automatic,800,16102,1.02041203,14/11/2023,28/6/2025,Second,21415,2,3,17.31437313,0.958968511,New,New,New,1
Truck,46645,1.015392962,Poor,2,6,Diesel,Automatic,2000,96490,0.96608242,29/12/2023,10/8/2024,Third,7652,8,2,17.74439602,1.018755628,Worn Out,New,Weak,1
Truck,63664,1.009409994,Good,4,10,Diesel,Manual,800,15142,1.024762354,17/6/2023,28/3/2025,Second,15366,10,0,11.31377638,0.958940744,New,Worn Out,Weak,1
Truck,34722,1.014126069,Poor,4,5,Diesel,Automatic,2000,42194,1.013780921,28/12/2023,14/7/2024,Second,6573,4,1,10.99944788,1.016759235,New,New,Good,1
Truck,66617,0.971086035,Average,4,8,Electric,Manual,2500,146561,0.973902275,18/6/2023,8/8/2025,Third,17053,3,0,17.0716719,0.95483925,Worn Out,New,Good,1
Truck,40957,1.004943774,Poor,1,1,Diesel,Manual,2500,121561,0.970878241,3/5/2023,12/9/2024,Third,5358,1,1,19.24315981,1.015186731,Worn Out,Good,Good,0
Truck,71211,0.958622086,Good,0,10,Petrol,Automatic,2500,41816,1.035810393,12/12/2023,10/8/2025,Second,11694,2,0,19.2888879,0.986266244,New,New,New,0
Truck,35211,0.968731486,Poor,2,2,Petrol,Manual,1500,103136,1.021816882,25/1/2024,9/9/2025,First,23354,9,3,19.91917247,1.00459021,New,Worn Out,Weak,1
Truck,66714,1.014908024,Poor,2,2,Petrol,Automatic,1500,93027,0.956144741,12/8/2023,7/8/2025,Second,12134,3,0,10.1677978,1.046378824,Good,New,New,1
Truck,56954,1.001448764,Good,2,7,Petrol,Automatic,1000,46498,1.029578323,2/5/2023,8/11/2025,Third,13536,8,3,19.37003732,0.992870548,Worn Out,New,Good,1
Truck,65290,1.00766555,Poor,0,6,Electric,Manual,1500,68242,0.956297793,10/12/2023,10/9/2025,First,29073,8,1,16.30869686,0.987574051,Worn Out,Good,New,0
Truck,49984,0.990969861,Good,1,7,Diesel,Automatic,2000,47934,0.966582824,6/4/2023,7/1/2026,Third,18792,5,2,16.06380824,1.005194274,Good,Good,Good,0
Truck,62095,1.006338669,Average,2,2,Diesel,Manual,1000,96410,1.004792217,16/12/2023,21/4/2025,First,23558,5,3,19.63515009,1.048014792,Good,Good,Weak,1
Truck,37270,1.03893138,Good,4,2,Electric,Automatic,2500,55343,1.026351156,17/6/2023,21/2/2025,Third,8177,1,0,11.72408808,1.048565998,Worn Out,Good,Weak,1
Truck,43661,1.031638826,Good,4,10,Diesel,Automatic,800,53423,1.033296933,5/12/2023,30/6/2025,First,7319,10,1,17.55700488,1.032764033,New,Worn Out,New,1
Truck,42389,0.992916478,Good,3,7,Diesel,Automatic,2000,32275,1.004800485,9/7/2023,17/5/2024,Second,8597,2,0,16.95562827,1.038800062,New,Worn Out,New,1
Truck,33874,1.027131546,Good,1,4,Petrol,Automatic,800,64652,1.014662512,9/5/2023,7/5/2024,Second,14607,3,1,14.66418975,0.982687929,Good,Worn Out,Good,1
Truck,48603,0.981524806,Poor,3,1,Petrol,Automatic,1000,1144,1.009971501,27/4/2023,21/12/2025,Third,18322,2,2,10.85715011,1.003342107,Worn Out,Good,Good,1
Truck,31571,1.03624541,Good,2,10,Electric,Manual,2500,32067,1.031528047,9/8/2023,3/10/2025,Third,23688,10,2,12.7974938,1.017234083,Worn Out,Good,New,1
Truck,35764,1.011096198,Good,5,10,Diesel,Manual,2500,93061,1.027223701,30/9/2023,11/9/2025,First,18848,2,0,17.6919348,1.010923256,New,New,Good,1
Truck,52849,0.989440014,Poor,5,4,Electric,Automatic,2500,22473,1.003990757,24/5/2023,9/3/2026,First,15783,6,2,10.02514992,0.980216631,Worn Out,Good,Good,1
Truck,58198,1.034825506,Poor,0,6,Petrol,Automatic,800,2729,1.016908891,9/9/2023,6/11/2025,Third,17671,3,2,14.94150823,1.02680132,Worn Out,Good,New,0
Truck,42787,0.999830656,Average,2,5,Petrol,Automatic,800,53814,0.993674217,30/10/2023,9/6/2024,Third,5956,9,0,19.77689723,1.028337005,Worn Out,Worn Out,Good,1
Truck,73212,0.998242408,Good,1,9,Electric,Manual,2500,62428,1.017071985,9/10/2023,6/12/2024,First,7000,6,0,15.64120386,1.022327942,Worn Out,Good,Good,0
Truck,60122,0.954770752,Poor,3,9,Diesel,Manual,2000,21182,1.041428967,15/7/2023,26/10/2025,Third,12888,7,0,10.00660765,1.037871609,Good,Worn Out,New,1
Truck,39768,0.979615535,Average,2,10,Petrol,Automatic,2500,54671,0.963550322,28/6/2023,24/11/2025,Third,28064,3,2,15.95771818,1.019745702,Good,New,Good,0
Truck,53273,0.952932282,Good,5,2,Diesel,Automatic,2000,55349,1.020988682,9/9/2023,12/5/2025,First,20025,7,1,16.40924598,1.003038481,Good,Worn Out,Good,1
Truck,65488,1.002429455,Average,2,6,Diesel,Manual,1000,139744,1.008344289,21/9/2023,6/2/2026,First,5082,7,0,18.06694448,0.986279228,Good,New,Weak,1
Truck,75293,1.000825692,Poor,4,6,Petrol,Manual,800,25071,1.036822508,15/2/2024,19/11/2025,Second,19099,6,0,12.08199668,0.976908442,Worn Out,Good,New,1
Truck,63347,0.985439521,Poor,5,9,Diesel,Manual,2500,131187,0.96319874,27/7/2023,15/8/2025,Second,24298,6,0,18.9682559,1.045019441,Good,Good,Good,1
Truck,62559,0.983975335,Poor,4,9,Electric,Automatic,800,119614,1.014440461,6/11/2023,26/10/2024,Third,27541,5,2,10.27929956,1.016530652,Good,Worn Out,Weak,1
Truck,79143,0.975460381,Good,3,8,Diesel,Manual,2000,147197,1.048466102,24/5/2023,9/1/2026,Third,12004,5,2,14.88831846,1.003447202,New,New,Good,0
Truck,47704,0.960035819,Average,4,2,Electric,Manual,1500,71899,0.974653086,19/11/2023,4/2/2025,First,23209,8,2,14.72536645,1.02882411,Good,New,Weak,1
Truck,65804,0.969086927,Average,2,5,Diesel,Manual,1000,11655,0.954090088,1/7/2023,17/3/2025,First,14129,4,3,19.28406189,0.965423425,Worn Out,New,Weak,1
Truck,62017,1.018155905,Average,5,8,Petrol,Automatic,1500,4040,1.000256505,13/10/2023,23/3/2025,First,20686,10,2,17.49737579,1.020686763,Worn Out,Worn Out,Weak,1
Truck,72455,0.969727989,Average,1,8,Petrol,Automatic,1000,149281,0.979681891,11/2/2024,29/4/2025,Second,21121,1,1,18.47281017,0.999842222,Worn Out,Good,Weak,1
Truck,44299,1.003468201,Good,4,8,Petrol,Automatic,2000,14081,1.032297105,17/1/2024,25/7/2024,Second,9247,8,3,18.9248985,1.025789441,Good,Good,Good,1
Truck,56840,1.015076569,Good,4,2,Petrol,Manual,2500,63796,1.010178826,4/7/2023,10/12/2024,Second,7732,10,3,13.66679529,0.966401908,Good,Worn Out,New,1
Truck,78113,1.032310167,Poor,3,5,Diesel,Manual,1000,136278,1.048822432,24/12/2023,11/10/2025,Second,14643,9,2,19.70623158,1.022673769,Worn Out,Good,Weak,1
Truck,64957,1.016767641,Poor,5,5,Electric,Automatic,2500,16314,0.958851149,1/12/2023,18/7/2024,First,11319,7,2,12.91725407,1.03544558,New,New,Good,1
Truck,70578,0.961404065,Poor,3,9,Electric,Automatic,800,83840,0.981011386,9/9/2023,5/4/2025,Third,26885,10,2,12.30957129,0.958120701,Worn Out,Good,Good,1
Truck,31795,0.957042257,Poor,2,2,Diesel,Manual,800,129046,1.017989016,22/8/2023,17/12/2025,Second,24496,2,2,18.39339249,0.959209467,Worn Out,New,New,1
Truck,60406,1.033836759,Poor,5,3,Diesel,Automatic,800,123075,0.95691252,4/5/2023,12/6/2024,First,5519,5,0,12.83215856,1.015302433,Worn Out,Worn Out,Good,1
Truck,64712,1.046859218,Good,2,2,Electric,Manual,1000,6376,1.014201415,16/1/2024,17/12/2025,Second,9819,10,1,15.70666716,0.95906215,New,Good,Good,0
Truck,54094,1.006319705,Average,1,10,Petrol,Manual,1500,47002,1.048588257,24/12/2023,10/11/2024,Second,22416,1,3,17.53839594,0.987703031,Worn Out,Worn Out,New,1
Truck,30155,0.97665095,Poor,2,1,Electric,Manual,1500,29655,1.047076061,30/9/2023,29/11/2024,Third,21715,1,3,11.96556927,1.046675157,Worn Out,Good,Weak,1
Truck,73615,1.039639847,Poor,3,2,Diesel,Manual,800,95379,0.957150092,29/7/2023,1/6/2025,First,29904,6,2,11.28023619,0.974861086,Worn Out,New,New,1
Truck,59408,1.000675849,Good,5,3,Electric,Manual,1500,36828,0.986657192,14/10/2023,10/3/2025,Third,5290,2,0,12.94602377,1.032586343,Worn Out,Good,Weak,1
Truck,78349,1.011250107,Good,2,9,Diesel,Automatic,800,81262,0.998189841,22/2/2024,6/5/2025,First,27805,5,0,10.42287083,0.969059619,Good,Worn Out,New,1
Truck,72770,1.029222015,Poor,1,10,Diesel,Automatic,1000,6103,0.956415627,31/1/2024,2/3/2025,Third,27666,7,1,18.57987301,0.995299586,New,Good,Good,0
Truck,37715,1.042950337,Average,3,8,Diesel,Manual,2500,72923,0.967919362,30/9/2023,20/9/2024,Third,5722,6,2,17.96176591,0.961202014,Worn Out,Good,Weak,1
Truck,73040,1.018227648,Good,0,5,Electric,Automatic,2000,85128,1.038070733,5/7/2023,6/9/2024,Second,26422,1,0,17.64956141,1.001262011,Good,Worn Out,Weak,1
Truck,79264,0.977520364,Average,1,3,Petrol,Automatic,2500,91283,1.047469656,27/7/2023,15/1/2025,Second,29962,10,2,14.57530516,1.033568262,New,Good,Weak,1
Truck,79069,1.030453345,Poor,3,1,Electric,Automatic,800,126220,0.996245183,24/9/2023,2/11/2024,Second,25935,8,3,14.05098,1.003338204,Worn Out,Worn Out,Weak,1
Truck,71132,0.986436928,Good,5,9,Electric,Manual,1500,106289,0.975249101,6/7/2023,21/5/2024,Second,15095,1,3,12.15627983,1.029577263,Worn Out,Worn Out,Good,1
Truck,54546,1.020284329,Poor,4,7,Electric,Manual,2000,21619,1.027157885,24/12/2023,16/3/2026,Third,9333,7,0,10.77577982,0.988305045,New,Good,New,1
Truck,59216,0.96993173,Average,1,6,Electric,Manual,1000,53338,1.049828847,16/1/2024,3/9/2024,First,23665,10,0,17.22604835,0.956787574,New,Good,New,0
Truck,37715,1.020442601,Poor,5,2,Petrol,Manual,1500,97617,0.972026412,2/11/2023,28/11/2025,Third,27698,3,0,18.09415406,0.955639711,Worn Out,Good,Weak,1
Truck,34871,0.991681192,Poor,2,7,Diesel,Manual,2500,121922,0.998451023,23/8/2023,1/11/2025,Second,16306,6,2,10.74338573,1.013935625,Worn Out,Good,New,1
Truck,79017,1.008936389,Average,4,8,Diesel,Automatic,1500,44811,1.039258805,17/1/2024,2/8/2024,Second,5673,4,0,13.48788208,1.032398277,Good,Good,Good,1
Truck,46341,1.014203503,Good,1,3,Electric,Automatic,1500,93002,0.98772097,24/9/2023,7/2/2025,Second,12200,5,0,19.79905502,0.991780277,Worn Out,New,New,0
Truck,46606,0.97744477,Average,5,6,Petrol,Manual,800,125523,1.006853745,31/12/2023,7/7/2025,Second,11209,3,2,19.29524255,0.97799554,Good,Worn Out,Good,1
