Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
Truck,32865,Average,0,8,Petrol,Automatic,2000,85667,6/2/2024,22/3/2026,First,21508,3,2,15.02839675,New,Worn Out,Weak,1
Truck,51881,Average,1,10,Diesel,Manual,2500,53621,1/10/2023,11/7/2025,Third,22537,6,2,10.35284006,Good,Worn Out,Weak,1
Truck,64605,Good,0,7,Electric,Manual,2500,117210,24/12/2023,11/11/2024,First,28903,9,3,15.36555823,Good,Good,New,1
Truck,32357,Good,1,5,Electric,Automatic,2500,14696,4/6/2023,16/12/2024,Second,19164,5,0,13.44818788,New,Worn Out,Weak,1
Truck,51239,Poor,2,5,Petrol,Automatic,1000,77785,13/7/2023,6/10/2024,Second,11508,8,2,15.25750554,Good,New,Good,1
Truck,61753,Average,0,9,Petrol,Manual,1000,126401,17/11/2023,17/3/2026,Second,23864,4,0,18.75021249,New,Good,Weak,1
Truck,65337,Good,2,1,Petrol,Automatic,1000,61391,8/4/2023,30/5/2025,Second,21215,10,2,15.84615194,Worn Out,Worn Out,Good,1
Truck,55552,Good,0,8,Petrol,Manual,800,94966,30/12/2023,4/9/2025,First,9459,10,3,11.63570675,Good,Worn Out,New,1
Truck,56780,Average,5,8,Diesel,Automatic,1500,12970,3/5/2023,15/9/2025,First,24409,1,0,19.5557918,Worn Out,Worn Out,New,1
Truck,79270,Poor,4,10,Electric,Automatic,800,66780,1/7/2023,27/1/2026,First,11120,5,3,18.37114081,Good,Worn Out,New,1
Truck,68339,Good,2,6,Petrol,Automatic,1000,148313,19/10/2023,28/2/2026,First,12735,4,0,11.940936,New,Worn Out,Good,1
Truck,56385,Good,1,5,Petrol,Automatic,800,97041,13/5/2023,27/2/2025,Second,18557,1,3,16.76571544,Worn Out,New,Good,0
Truck,47717,Good,5,8,Petrol,Manual,1000,54261,16/8/2023,26/6/2025,Third,24608,9,2,14.60103136,Good,New,Weak,1
Truck,64983,Good,2,4,Electric,Automatic,2500,9017,10/12/2023,8/2/2026,Second,11425,3,0,10.57269315,Worn Out,Worn Out,Weak,1
Truck,37870,Poor,2,7,Diesel,Automatic,1500,104602,23/5/2023,9/4/2025,First,7469,8,0,16.03986136,New,Good,Good,1
Truck,55499,Poor,1,3,Petrol,Manual,800,137606,4/6/2023,26/6/2025,Second,21898,5,2,15.72393928,New,New,Weak,1
Truck,79937,Average,2,4,Diesel,Automatic,1000,122056,4/12/2023,13/6/2024,Third,9368,10,2,19.90166184,Good,Good,Good,1
Truck,72360,Poor,0,6,Petrol,Automatic,2500,141831,5/10/2023,2/11/2024,Third,20168,3,2,11.86595924,Good,Good,Good,0
Truck,39658,Average,1,3,Diesel,Automatic,800,91765,4/8/2023,11/10/2024,Third,9156,9,2,10.43117918,Worn Out,New,New,1
Truck,73116,Good,0,10,Diesel,Manual,1500,139404,6/2/2024,9/1/2025,First,15536,3,3,13.40452584,New,Worn Out,New,1
Truck,37503,Good,0,6,Diesel,Automatic,800,88134,3/10/2023,23/9/2025,Second,19629,6,3,18.80973082,Good,Good,Weak,1
Truck,37857,Good,3,7,Diesel,Manual,1500,118631,27/5/2023,10/6/2025,First,17135,10,2,18.12572652,Worn Out,Worn Out,Weak,1
Truck,50057,Average,3,3,Electric,Manual,1500,90229,22/7/2023,20/8/2024,Second,24872,5,0,12.40984105,New,New,Weak,1
Truck,62646,Poor,4,3,Petrol,Automatic,800,87026,5/12/2023,29/5/2024,First,18685,2,1,15.28117113,New,Worn Out,New,1
Truck,45484,Good,4,4,Electric,Manual,1500,31908,12/6/2023,6/3/2025,Third,22919,5,0,12.00795378,New,New,Weak,1
Truck,62905,Average,0,1,Diesel,Manual,1000,2004,9/2/2024,11/8/2025,Second,10497,3,2,13.03381582,New,Worn Out,New,1
Truck,63108,Average,5,5,Electric,Manual,800,51714,21/1/2024,18/7/2025,Third,12160,1,0,14.71146459,New,Worn Out,New,1
Truck,33381,Average,2,4,Electric,Automatic,800,94878,4/10/2023,16/2/2026,Second,10377,2,3,13.52696757,New,Worn Out,Good,1
Truck,63543,Good,2,5,Petrol,Automatic,1500,83760,17/2/2024,8/10/2025,Second,26406,2,2,15.4153714,Worn Out,New,New,0
Truck,71720,Average,3,5,Petrol,Manual,800,7675,3/7/2023,12/11/2024,First,12798,9,3,12.75931443,Worn Out,New,Good,1
Truck,33413,Poor,3,4,Diesel,Automatic,1500,43827,6/1/2024,3/11/2025,Third,29992,8,1,17.40860287,New,Worn Out,Good,1
Truck,52112,Good,4,3,Petrol,Automatic,1000,105814,15/4/2023,31/10/2024,Third,24330,3,1,16.98087366,Worn Out,Good,New,1
Truck,41741,Average,4,8,Electric,Automatic,2500,121868,4/4/2023,21/10/2025,Second,19796,6,1,11.82147941,New,New,Weak,1
Truck,56915,Good,1,10,Diesel,Automatic,2000,109391,17/10/2023,13/3/2026,Third,21212,6,1,11.40077465,Worn Out,Worn Out,Good,1
Truck,78113,Good,3,10,Petrol,Manual,1000,87999,27/5/2023,11/11/2025,Second,5290,3,0,16.8445274,Good,Worn Out,Good,1
Truck,50770,Average,5,4,Diesel,Manual,800,50240,18/7/2023,5/3/2025,Second,21333,1,1,13.14493454,Good,Good,Weak,1
Truck,77641,Average,4,3,Diesel,Manual,2500,93068,21/12/2023,25/1/2025,Third,18028,2,2,14.59753271,New,Good,Good,1
Truck,63745,Good,5,5,Petrol,Automatic,1000,76973,5/4/2023,17/9/2024,First,12397,10,3,12.23947775,New,Worn Out,New,1
Truck,50708,Average,4,7,Diesel,Manual,2500,29027,15/6/2023,22/5/2024,Third,29925,8,2,13.24237658,Good,Good,Weak,1
Truck,53385,Poor,0,1,Electric,Manual,2000,63789,27/7/2023,17/2/2025,Third,10390,5,2,10.63761524,New,New,Weak,1
Truck,61160,Good,2,5,Electric,Automatic,2500,61160,10/6/2023,2/1/2025,First,10757,5,0,13.69235791,New,New,New,0
Truck,72715,Average,1,7,Diesel,Manual,800,58336,4/12/2023,9/5/2024,Second,24811,1,2,15.96296438,New,New,Weak,1
Truck,31130,Good,2,1,Electric,Manual,2500,133428,1/12/2023,11/1/2025,Second,8632,6,2,15.75962001,Worn Out,Worn Out,New,1
Truck,56969,Average,5,10,Electric,Automatic,800,99314,1/2/2024,13/8/2025,Third,23426,9,0,19.65782845,Good,Good,Weak,1
Truck,36402,Poor,5,1,Petrol,Manual,1500,56999,12/9/2023,29/10/2024,Third,9488,5,2,10.534297,Worn Out,Worn Out,Weak,1
Truck,42489,Poor,5,3,Electric,Manual,1500,91238,25/9/2023,28/12/2024,First,13827,6,0,10.55305793,Good,New,Weak,1
Truck,51992,Good,4,4,Electric,Automatic,2000,54089,9/7/2023,16/7/2025,Second,26277,10,0,16.77264402,New,New,New,1
Truck,56896,Poor,5,5,Electric,Manual,800,12974,11/9/2023,30/6/2024,Second,8611,1,3,12.011243,New,New,Weak,1
Truck,48302,Good,1,9,Diesel,Automatic,2000,54462,6/5/2023,16/10/2025,Second,5920,5,2,11.05058488,Good,Good,Weak,1
Truck,76890,Average,3,8,Electric,Automatic,2000,73989,1/7/2023,24/1/2026,Second,12159,3,1,14.73327228,Good,New,Weak,1
Truck,48034,Poor,4,10,Petrol,Manual,1500,68817,5/9/2023,2/10/2025,Second,15923,7,3,12.61145648,Good,Good,New,1
Truck,70346,Poor,4,7,Diesel,Automatic,800,63139,22/1/2024,13/3/2026,Third,27356,10,0,16.95437599,New,New,Weak,1
Truck,67738,Average,5,6,Electric,Manual,2000,133490,16/7/2023,23/2/2025,First,22647,3,2,15.16855017,Good,Good,Weak,1
Truck,50881,Good,4,2,Electric,Automatic,1000,8563,17/9/2023,13/3/2025,Second,18055,1,1,10.2106724,Good,Worn Out,New,1
Truck,63699,Poor,3,1,Petrol,Automatic,800,54027,21/2/2024,7/5/2024,Third,29973,6,0,13.6677207,Worn Out,New,New,1
Truck,32205,Average,0,3,Electric,Manual,2000,40063,18/1/2024,6/5/2025,First,27552,10,2,12.48564233,Good,Worn Out,New,1
Truck,40455,Average,5,8,Electric,Manual,800,101177,20/6/2023,25/12/2024,Second,17589,6,3,17.23478766,Good,New,New,1
Truck,74904,Good,2,2,Electric,Manual,800,86710,17/8/2023,9/1/2026,Second,12975,6,1,16.17683359,Good,Good,Weak,1
Truck,66949,Poor,4,9,Diesel,Automatic,2000,110365,14/7/2023,18/6/2025,Second,24778,10,2,14.53076836,Good,Good,Good,1
Truck,55125,Poor,3,4,Diesel,Automatic,1500,141884,8/12/2023,20/12/2024,First,8774,8,2,18.79215281,Worn Out,Good,Good,1
Truck,66497,Average,0,6,Diesel,Manual,2500,97192,11/5/2023,25/6/2024,Second,20097,10,1,19.12612072,Good,Worn Out,Good,1
Truck,48975,Average,2,7,Diesel,Automatic,800,78744,8/8/2023,6/3/2026,Third,6006,7,2,18.11706703,Good,New,Weak,1
Truck,63849,Average,1,10,Electric,Manual,2500,55367,21/4/2023,12/5/2024,First,6116,8,1,18.52020618,New,Worn Out,Good,1
Truck,71391,Average,1,6,Petrol,Automatic,1000,129211,9/7/2023,28/9/2024,Second,28400,1,3,19.00468898,Worn Out,Worn Out,Weak,1
Truck,67672,Poor,2,1,Diesel,Manual,2500,108600,17/4/2023,11/8/2024,First,18509,10,3,17.77700752,Good,Worn Out,Weak,1
Truck,61193,Average,1,6,Diesel,Automatic,1000,16798,15/6/2023,2/1/2026,Second,24923,7,1,17.14609995,Good,Good,Good,0
Truck,70482,Average,3,2,Diesel,Automatic,800,16102,14/11/2023,28/6/2025,Second,21415,2,3,17.31437313,New,New,New,1
Truck,46645,Poor,2,6,Diesel,Automatic,2000,96490,29/12/2023,10/8/2024,Third,7652,8,2,17.74439602,Worn Out,New,Weak,1
Truck,63664,Good,4,10,Diesel,Manual,800,15142,17/6/2023,28/3/2025,Second,15366,10,0,11.31377638,New,Worn Out,Weak,1
Truck,34722,Poor,4,5,Diesel,Automatic,2000,42194,28/12/2023,14/7/2024,Second,6573,4,1,10.99944788,New,New,Good,1
Truck,66617,Average,4,8,Electric,Manual,2500,146561,18/6/2023,8/8/2025,Third,17053,3,0,17.0716719,Worn Out,New,Good,1
Truck,40957,Poor,1,1,Diesel,Manual,2500,121561,3/5/2023,12/9/2024,Third,5358,1,1,19.24315981,Worn Out,Good,Good,0
Truck,71211,Good,0,10,Petrol,Automatic,2500,41816,12/12/2023,10/8/2025,Second,11694,2,0,19.2888879,New,New,New,0
Truck,35211,Poor,2,2,Petrol,Manual,1500,103136,25/1/2024,9/9/2025,First,23354,9,3,19.91917247,New,Worn Out,Weak,1
Truck,66714,Poor,2,2,Petrol,Automatic,1500,93027,12/8/2023,7/8/2025,Second,12134,3,0,10.1677978,Good,New,New,1
Truck,56954,Good,2,7,Petrol,Automatic,1000,46498,2/5/2023,8/11/2025,Third,13536,8,3,19.37003732,Worn Out,New,Good,1
Truck,65290,Poor,0,6,Electric,Manual,1500,68242,10/12/2023,10/9/2025,First,29073,8,1,16.30869686,Worn Out,Good,New,0
Truck,49984,Good,1,7,Diesel,Automatic,2000,47934,6/4/2023,7/1/2026,Third,18792,5,2,16.06380824,Good,Good,Good,0
Truck,62095,Average,2,2,Diesel,Manual,1000,96410,16/12/2023,21/4/2025,First,23558,5,3,19.63515009,Good,Good,Weak,1
Truck,37270,Good,4,2,Electric,Automatic,2500,55343,17/6/2023,21/2/2025,Third,8177,1,0,11.72408808,Worn Out,Good,Weak,1
Truck,43661,Good,4,10,Diesel,Automatic,800,53423,5/12/2023,30/6/2025,First,7319,10,1,17.55700488,New,Worn Out,New,1
Truck,42389,Good,3,7,Diesel,Automatic,2000,32275,9/7/2023,17/5/2024,Second,8597,2,0,16.95562827,New,Worn Out,New,1
Truck,33874,Good,1,4,Petrol,Automatic,800,64652,9/5/2023,7/5/2024,Second,14607,3,1,14.66418975,Good,Worn Out,Good,1
Truck,48603,Poor,3,1,Petrol,Automatic,1000,1144,27/4/2023,21/12/2025,Third,18322,2,2,10.85715011,Worn Out,Good,Good,1
Truck,31571,Good,2,10,Electric,Manual,2500,32067,9/8/2023,3/10/2025,Third,23688,10,2,12.7974938,Worn Out,Good,New,1
Truck,35764,Good,5,10,Diesel,Manual,2500,93061,30/9/2023,11/9/2025,First,18848,2,0,17.6919348,New,New,Good,1
Truck,52849,Poor,5,4,Electric,Automatic,2500,22473,24/5/2023,9/3/2026,First,15783,6,2,10.02514992,Worn Out,Good,Good,1
Truck,58198,Poor,0,6,Petrol,Automatic,800,2729,9/9/2023,6/11/2025,Third,17671,3,2,14.94150823,Worn Out,Good,New,0
Truck,42787,Average,2,5,Petrol,Automatic,800,53814,30/10/2023,9/6/2024,Third,5956,9,0,19.77689723,Worn Out,Worn Out,Good,1
Truck,73212,Good,1,9,Electric,Manual,2500,62428,9/10/2023,6/12/2024,First,7000,6,0,15.64120386,Worn Out,Good,Good,0
Truck,60122,Poor,3,9,Diesel,Manual,2000,21182,15/7/2023,26/10/2025,Third,12888,7,0,10.00660765,Good,Worn Out,New,1
Truck,39768,Average,2,10,Petrol,Automatic,2500,54671,28/6/2023,24/11/2025,Third,28064,3,2,15.95771818,Good,New,Good,0
Truck,53273,Good,5,2,Diesel,Automatic,2000,55349,9/9/2023,12/5/2025,First,20025,7,1,16.40924598,Good,Worn Out,Good,1
Truck,65488,Average,2,6,Diesel,Manual,1000,139744,21/9/2023,6/2/2026,First,5082,7,0,18.06694448,Good,New,Weak,1
Truck,75293,Poor,4,6,Petrol,Manual,800,25071,15/2/2024,19/11/2025,Second,19099,6,0,12.08199668,Worn Out,Good,New,1
Truck,63347,Poor,5,9,Diesel,Manual,2500,131187,27/7/2023,15/8/2025,Second,24298,6,0,18.9682559,Good,Good,Good,1
Truck,62559,Poor,4,9,Electric,Automatic,800,119614,6/11/2023,26/10/2024,Third,27541,5,2,10.27929956,Good,Worn Out,Weak,1
Truck,79143,Good,3,8,Diesel,Manual,2000,147197,24/5/2023,9/1/2026,Third,12004,5,2,14.88831846,New,New,Good,0
Truck,47704,Average,4,2,Electric,Manual,1500,71899,19/11/2023,4/2/2025,First,23209,8,2,14.72536645,Good,New,Weak,1
Truck,65804,Average,2,5,Diesel,Manual,1000,11655,1/7/2023,17/3/2025,First,14129,4,3,19.28406189,Worn Out,New,Weak,1
Truck,62017,Average,5,8,Petrol,Automatic,1500,4040,13/10/2023,23/3/2025,First,20686,10,2,17.49737579,Worn Out,Worn Out,Weak,1
Truck,72455,Average,1,8,Petrol,Automatic,1000,149281,11/2/2024,29/4/2025,Second,21121,1,1,18.47281017,Worn Out,Good,Weak,1
Truck,44299,Good,4,8,Petrol,Automatic,2000,14081,17/1/2024,25/7/2024,Second,9247,8,3,18.9248985,Good,Good,Good,1
Truck,56840,Good,4,2,Petrol,Manual,2500,63796,4/7/2023,10/12/2024,Second,7732,10,3,13.66679529,Good,Worn Out,New,1
Truck,78113,Poor,3,5,Diesel,Manual,1000,136278,24/12/2023,11/10/2025,Second,14643,9,2,19.70623158,Worn Out,Good,Weak,1
Truck,64957,Poor,5,5,Electric,Automatic,2500,16314,1/12/2023,18/7/2024,First,11319,7,2,12.91725407,New,New,Good,1
Truck,70578,Poor,3,9,Electric,Automatic,800,83840,9/9/2023,5/4/2025,Third,26885,10,2,12.30957129,Worn Out,Good,Good,1
Truck,31795,Poor,2,2,Diesel,Manual,800,129046,22/8/2023,17/12/2025,Second,24496,2,2,18.39339249,Worn Out,New,New,1
Truck,60406,Poor,5,3,Diesel,Automatic,800,123075,4/5/2023,12/6/2024,First,5519,5,0,12.83215856,Worn Out,Worn Out,Good,1
Truck,64712,Good,2,2,Electric,Manual,1000,6376,16/1/2024,17/12/2025,Second,9819,10,1,15.70666716,New,Good,Good,0
Truck,54094,Average,1,10,Petrol,Manual,1500,47002,24/12/2023,10/11/2024,Second,22416,1,3,17.53839594,Worn Out,Worn Out,New,1
Truck,30155,Poor,2,1,Electric,Manual,1500,29655,30/9/2023,29/11/2024,Third,21715,1,3,11.96556927,Worn Out,Good,Weak,1
Truck,73615,Poor,3,2,Diesel,Manual,800,95379,29/7/2023,1/6/2025,First,29904,6,2,11.28023619,Worn Out,New,New,1
Truck,59408,Good,5,3,Electric,Manual,1500,36828,14/10/2023,10/3/2025,Third,5290,2,0,12.94602377,Worn Out,Good,Weak,1
Truck,78349,Good,2,9,Diesel,Automatic,800,81262,22/2/2024,6/5/2025,First,27805,5,0,10.42287083,Good,Worn Out,New,1
Truck,72770,Poor,1,10,Diesel,Automatic,1000,6103,31/1/2024,2/3/2025,Third,27666,7,1,18.57987301,New,Good,Good,0
Truck,37715,Average,3,8,Diesel,Manual,2500,72923,30/9/2023,20/9/2024,Third,5722,6,2,17.96176591,Worn Out,Good,Weak,1
Truck,73040,Good,0,5,Electric,Automatic,2000,85128,5/7/2023,6/9/2024,Second,26422,1,0,17.64956141,Good,Worn Out,Weak,1
Truck,79264,Average,1,3,Petrol,Automatic,2500,91283,27/7/2023,15/1/2025,Second,29962,10,2,14.57530516,New,Good,Weak,1
Truck,79069,Poor,3,1,Electric,Automatic,800,126220,24/9/2023,2/11/2024,Second,25935,8,3,14.05098,Worn Out,Worn Out,Weak,1
Truck,71132,Good,5,9,Electric,Manual,1500,106289,6/7/2023,21/5/2024,Second,15095,1,3,12.15627983,Worn Out,Worn Out,Good,1
Truck,54546,Poor,4,7,Electric,Manual,2000,21619,24/12/2023,16/3/2026,Third,9333,7,0,10.77577982,New,Good,New,1
Truck,59216,Average,1,6,Electric,Manual,1000,53338,16/1/2024,3/9/2024,First,23665,10,0,17.22604835,New,Good,New,0
Truck,37715,Poor,5,2,Petrol,Manual,1500,97617,2/11/2023,28/11/2025,Third,27698,3,0,18.09415406,Worn Out,Good,Weak,1
Truck,34871,Poor,2,7,Diesel,Manual,2500,121922,23/8/2023,1/11/2025,Second,16306,6,2,10.74338573,Worn Out,Good,New,1
Truck,79017,Average,4,8,Diesel,Automatic,1500,44811,17/1/2024,2/8/2024,Second,5673,4,0,13.48788208,Good,Good,Good,1
Truck,46341,Good,1,3,Electric,Automatic,1500,93002,24/9/2023,7/2/2025,Second,12200,5,0,19.79905502,Worn Out,New,New,0
Truck,46606,Average,5,6,Petrol,Manual,800,125523,31/12/2023,7/7/2025,Second,11209,3,2,19.29524255,Good,Worn Out,Good,1
Truck,45294,Average,4,1,Petrol,Automatic,1500,38180,16/1/2024,22/5/2025,Third,28668,1,3,12.96848496,Good,Worn Out,Weak,1
Truck,33755,Average,5,8,Diesel,Automatic,2000,113844,2/2/2024,25/2/2026,Third,13553,10,0,15.67587027,New,Worn Out,Weak,1
Truck,39555,Good,5,4,Diesel,Manual,2000,83602,23/4/2023,8/6/2024,Second,14816,8,1,17.44166263,Worn Out,New,Good,1
Truck,31837,Poor,1,4,Diesel,Automatic,1000,48468,27/5/2023,22/12/2025,First,16538,9,1,11.3062529,Worn Out,Good,New,0
Truck,72653,Good,3,4,Diesel,Automatic,1500,117794,30/1/2024,1/6/2024,First,12835,3,0,14.94721877,Good,New,New,0
Truck,57700,Average,0,4,Electric,Automatic,1000,47568,28/11/2023,30/8/2024,Second,17503,4,3,18.75998971,New,Worn Out,Good,1
Truck,38853,Good,5,5,Electric,Automatic,2500,1757,10/9/2023,26/5/2025,Second,7631,8,3,18.02470545,New,Good,Good,1
Truck,76502,Good,2,9,Diesel,Manual,1000,73650,3/9/2023,30/9/2024,First,9951,10,1,12.46278771,Good,New,Good,0
Truck,33934,Good,1,5,Electric,Automatic,1000,117836,3/12/2023,6/1/2026,First,14081,10,2,14.61595005,Worn Out,Good,Good,1
Truck,46059,Poor,5,2,Electric,Automatic,2500,68016,7/2/2024,30/3/2025,First,12928,9,0,11.81279817,Good,New,Good,1
Truck,45991,Poor,0,5,Petrol,Automatic,2500,73909,23/11/2023,13/3/2026,First,23398,10,2,18.26224326,Good,Good,New,1
Truck,53474,Average,4,1,Diesel,Automatic,2500,85712,28/12/2023,25/4/2025,Third,6484,10,3,19.10288532,New,New,New,1
Truck,76692,Average,4,7,Diesel,Automatic,1000,52334,17/10/2023,18/10/2025,Second,20171,3,0,17.81945842,Good,Good,Good,1
Truck,48648,Poor,1,9,Diesel,Automatic,1500,123778,1/11/2023,24/9/2024,First,20013,5,1,14.6204467,Worn Out,New,Good,0
Truck,66845,Poor,5,4,Diesel,Manual,800,135451,11/8/2023,9/11/2025,First,13284,6,3,13.81606033,Good,Good,Good,1
Truck,60011,Average,5,4,Electric,Manual,2500,50093,24/11/2023,2/12/2025,First,20695,8,2,17.35194504,Good,New,Good,1
Truck,38874,Good,0,9,Petrol,Manual,1000,50240,29/12/2023,5/10/2025,First,20089,3,2,16.05847217,Worn Out,Worn Out,New,1
Truck,35515,Poor,5,7,Petrol,Manual,2500,102482,19/10/2023,31/7/2024,First,28529,1,3,16.74261863,Good,Worn Out,Weak,1
Truck,37597,Poor,4,3,Petrol,Automatic,2500,74784,12/1/2024,22/8/2025,First,15674,6,3,10.29649527,Worn Out,Good,Good,1
Truck,55799,Average,3,7,Diesel,Manual,800,96959,8/8/2023,24/2/2025,First,24955,2,2,10.60378083,Good,Worn Out,Weak,1
Truck,55333,Poor,5,9,Diesel,Manual,2500,103743,18/4/2023,12/12/2024,First,13186,1,1,19.56238968,New,New,Good,1
Truck,63311,Good,1,6,Diesel,Manual,1500,54891,28/9/2023,26/5/2024,Second,24664,8,0,18.72567139,Worn Out,Good,Weak,1
Truck,58473,Poor,2,6,Petrol,Manual,2500,42837,19/6/2023,22/9/2025,First,8540,8,1,13.14449124,Worn Out,New,Good,1
Truck,44808,Good,4,10,Diesel,Automatic,800,64282,13/12/2023,26/4/2025,Second,24465,9,0,13.19872357,Worn Out,Good,Weak,1
Truck,47766,Average,5,5,Diesel,Automatic,1500,32238,25/11/2023,1/2/2025,Third,15871,1,1,12.94764094,New,Good,Good,1
Truck,68426,Poor,0,8,Electric,Automatic,1000,86412,1/4/2023,12/9/2025,First,7762,1,3,16.78253922,New,Good,Weak,1
Truck,69552,Good,2,3,Petrol,Automatic,2000,138271,18/12/2023,9/7/2024,Second,12884,3,2,10.99416809,Good,Worn Out,Good,1
Truck,48173,Poor,3,1,Electric,Manual,2000,136533,19/1/2024,5/8/2025,Second,23069,2,1,16.91730144,Good,New,Good,1
Truck,62143,Poor,5,1,Petrol,Manual,800,127932,2/11/2023,15/1/2026,Second,5363,1,0,13.16860426,Good,Good,Good,1
Truck,56362,Average,4,5,Petrol,Automatic,2500,49112,19/8/2023,12/1/2026,Second,25025,8,0,14.97302526,Worn Out,New,Weak,1
Truck,75437,Average,3,2,Diesel,Automatic,2000,87945,1/10/2023,7/6/2024,Second,5761,7,1,12.70111143,Good,Worn Out,Weak,1
Truck,68894,Good,0,10,Electric,Automatic,2000,98866,9/5/2023,11/10/2024,First,7935,3,3,10.40054091,New,Good,Weak,1
Truck,76108,Poor,4,4,Electric,Manual,1000,26427,25/11/2023,27/8/2024,First,14505,9,0,19.72683418,Worn Out,Good,Weak,1
Truck,79066,Good,5,8,Electric,Automatic,1000,105440,24/12/2023,16/5/2024,First,6962,10,1,12.85838604,Good,Worn Out,Good,1
Truck,48504,Good,5,2,Electric,Automatic,1500,124596,21/6/2023,28/11/2025,First,25837,2,1,16.9154514,New,Worn Out,Weak,1
Truck,36958,Good,5,9,Diesel,Manual,2500,124717,16/12/2023,18/2/2025,First,24157,6,0,19.76975394,Good,New,Good,1
Truck,69120,Poor,3,6,Petrol,Manual,800,96884,23/2/2024,7/8/2024,Second,20783,5,3,10.69167093,Good,Worn Out,New,1
