,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Engine_Size,Odometer_Reading,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Days_since_last_service,Warranty Days remaining,Transmission_Type_Manual,prob,prediction
1788,30737.29757,1,5,6,2500,121663.1621,2,9645.283892,4,2,14.61789238,1,0,287,-140,True,0.9982954545454545,1
1071,59300.9695,2,1,2,2000,101983.5913,1,17623.78634,3,1,16.22913544,0,1,364,280,True,0.1112188302501181,0
196,65833.83382,2,1,9,800,118311.9092,2,18733.34472,5,2,19.93309525,2,2,468,206,False,0.24701523931864483,0
2642,83021.63387,2,2,10,2500,67159.99835,0,25358.18525,7,3,14.57538618,2,1,255,397,False,0.2736969582597486,0
3440,58391.56291,1,2,1,2000,53639.46666,2,16928.77688,1,3,11.90852747,2,0,388,111,True,0.9618939558248769,1
1366,58139.84966,1,2,10,2000,39102.6728,0,7213.375992,5,3,15.90727012,0,2,495,-4,False,0.23390018519062644,0
3379,64679.63002,0,4,5,800,102204.6626,0,12825.49428,6,1,12.27121109,2,0,387,497,False,0.9993076923076923,1
2419,69657.01995,0,2,10,1000,140467.7103,1,26659.55544,1,2,9.657977543,2,2,370,153,False,0.6826121709173184,1
2647,68846.34345,0,4,3,2500,20132.55734,2,22542.65983,3,3,13.27924896,1,1,519,396,False,0.9572150959742873,1
443,53128.50745,0,1,7,1000,134699.5821,2,6230.15204,3,0,15.16997836,0,2,336,-63,False,0.14776689670623502,0
1272,39380.19738,2,2,10,2500,94780.38255,1,10864.84128,3,3,13.3284412,0,1,400,-110,True,0.12624006895881895,0
3101,60148.58106,2,0,5,2500,129026.9103,1,26091.85787,1,1,12.87322241,2,2,403,422,True,0.2001067721730454,0
3489,50919.28315,2,2,5,800,89374.77753,2,29413.04947,8,2,17.27682316,0,0,484,141,False,0.9911666666666668,1
2236,31119.91349,1,3,6,2000,123965.2724,1,19482.50101,2,3,12.74543507,2,0,528,313,True,0.9902045454545454,1
759,58895.07914,1,1,6,1000,1189.09105,2,7643.023144,4,2,11.8533794,0,2,495,-44,True,0.1659764002337532,0
761,59541.59643,1,0,10,800,123454.0883,1,17528.06958,9,1,18.1439975,2,2,409,110,False,0.2255107088581353,0
2248,46515.52623,2,0,2,1500,15091.45971,2,26799.9468,3,2,15.64870149,1,1,289,511,False,0.25564066780098116,0
1583,65027.18503,2,2,1,1000,60419.97108,1,20309.57358,10,2,16.53688531,0,0,565,217,False,0.9864826388888888,1
1532,68611.24125,2,0,2,2000,84427.51212,0,8291.915399,7,3,14.66834863,0,1,549,212,False,0.2992194270190594,0
289,65474.16964,0,0,4,2500,114952.33,0,26999.75313,2,2,16.4133986,2,1,393,-165,False,0.2597447342281901,0
1074,66593.94846,2,0,4,800,144057.0997,1,9235.661199,7,2,12.80554066,2,1,417,50,True,0.22081191301818234,0
3033,31428.90416,0,4,5,2500,52427.03211,2,12081.94535,6,1,15.05929489,0,0,448,-140,True,0.9980227272727273,1
1398,71256.7139,2,0,7,1500,102850.3645,0,6563.095963,9,1,15.39052234,2,1,388,189,False,0.25852424494365295,0
2272,44385.74732,0,5,7,2000,90913.55493,2,11084.1974,5,2,17.93378724,1,0,430,436,False,0.9975937500000001,1
1003,71958.8567,2,3,4,2000,19795.42516,1,16768.05474,2,0,15.79728238,2,1,408,339,False,0.18418301042352905,0
179,62724.11637,2,1,10,1500,85393.71634,1,6284.505763,4,3,16.32704019,0,1,254,423,False,0.2038555690525505,0
1192,72452.15226,2,1,10,2000,33088.60557,1,19109.33658,4,0,17.66722952,1,1,451,369,False,0.1352131682213992,0
26,73068.09014,2,0,10,1000,38324.34627,2,30640.3472,1,3,18.53379623,0,2,284,-9,True,0.23818366534136665,0
461,33033.94144,2,1,7,2000,115005.0523,0,14842.94169,7,3,17.36434556,0,1,564,174,True,0.2128708579002697,0
2805,69355.746,2,2,5,1000,26551.42313,1,26671.46335,5,3,16.59619164,0,0,317,472,False,0.9606256660006659,1
2726,32919.01515,1,0,1,2000,85912.68749,0,18132.25852,8,1,9.889433583,2,0,251,273,False,0.9421100774225774,1
32,50286.89344,1,1,9,800,99554.5094,1,18851.76841,3,2,12.79723027,2,1,316,410,True,0.14817353928750993,0
2194,52917.29527,1,5,7,800,67789.33504,2,22492.71102,8,1,11.09861398,1,0,553,25,True,0.994090909090909,1
2822,53488.0988,0,2,4,1500,89861.76256,0,18550.08137,8,2,14.22419279,0,0,467,177,True,0.9974999999999998,1
964,41049.82005,0,0,2,1500,148651.9503,2,23130.92506,9,0,11.88888214,1,1,520,-176,True,0.3587268433106282,0
51,47503.08237,1,2,1,2000,96518.35207,2,11604.70761,7,3,19.42773891,2,2,354,84,True,0.36291494948335135,0
602,57820.07573,1,1,8,1500,135143.3877,0,14309.28069,2,2,11.91997986,1,2,410,67,True,0.10237394570298983,0
2024,32952.81318,2,0,1,2500,95387.62939,2,27474.34836,2,2,16.92157432,0,2,304,-177,False,0.2407074494133318,0
2407,76571.27729,0,2,8,800,128951.6594,0,28639.35391,7,1,12.31690932,2,2,421,160,False,0.69957586608438,1
2118,45702.86669,1,5,8,2500,99993.86888,0,28512.11188,3,2,12.55465863,2,2,259,149,False,0.9627056034243536,1
2423,63239.49944,0,5,1,1000,6236.110131,1,17801.95383,4,3,15.013744,0,2,274,127,False,0.9687566773504274,1
3206,63114.56835,1,4,9,800,110489.2715,2,28034.1265,2,1,13.33062485,0,2,515,397,True,0.9485784146409146,1
2982,54987.85814,0,2,8,2000,46670.53746,0,12972.38089,7,2,16.23842309,0,0,315,-71,False,0.9630098547286048,1
2698,62106.86656,0,4,8,800,90388.9723,2,14560.09147,1,3,12.7469212,0,2,411,-19,False,0.9850407439782438,1
1557,46812.25104,1,2,10,800,38772.40418,2,22330.64789,10,2,16.8203571,1,1,420,339,True,0.7588521668282701,1
2069,56513.26258,0,3,8,2500,9938.682862,1,18738.10752,7,2,12.05460897,1,1,293,324,True,0.8919297403984905,1
321,69196.87675,2,3,10,2000,117847.525,1,27512.43037,1,3,12.00701595,1,2,352,498,True,0.29542818508675717,0
790,79430.04657,0,1,5,1500,40405.45932,1,6926.65781,4,2,15.7578082,1,2,389,222,False,0.1368412276040953,0
1586,81556.43075,0,4,10,800,64192.59897,0,11352.43124,5,3,18.49667465,1,0,481,459,False,0.9782045454545454,1
1106,56403.52066,2,0,6,1500,93803.50269,2,29633.12053,3,1,12.81650602,0,1,366,60,False,0.13540168552852372,0
1352,68576.92484,1,2,2,800,51050.69383,1,5775.985204,4,0,20.11770203,1,1,453,59,True,0.2848461160713397,0
3066,43982.35461,0,3,10,1500,103722.4038,1,22563.38294,3,3,18.68961084,0,1,320,112,True,0.8932256458818959,1
1234,69178.67743,2,3,10,2000,66992.41036,0,21944.30007,2,3,11.68668792,2,1,477,42,False,0.25438004948482895,0
184,33151.86137,0,0,7,2000,110010.0025,0,5556.446509,6,3,18.46479515,0,2,374,324,False,0.1603921771383071,0
3180,36466.80381,1,5,8,1000,95347.42744,0,10784.94366,2,3,18.86147067,0,0,453,297,False,0.9975,1
2864,44321.50295,0,2,4,800,114126.6384,2,14698.22041,8,0,16.54270194,0,1,453,-84,False,0.5534628742860167,1
599,46218.35528,2,2,6,2000,68935.65656,1,11825.22452,4,0,16.10482256,2,2,540,245,True,0.09688540442400739,0
573,46911.70826,1,2,2,1500,59057.9411,2,9017.000923,7,2,18.86531909,0,1,301,257,False,0.36332008825797535,0
1235,78588.21385,0,0,7,1000,13295.28787,0,28011.15208,7,1,12.10861604,1,1,251,53,True,0.24720651937931357,0
2925,65414.00466,1,4,4,2000,7633.859233,0,18325.00842,1,1,19.2273853,0,2,550,215,False,0.9030024246586748,1
1572,39918.70613,1,0,4,1500,29481.42019,2,24038.13182,2,1,12.09921505,2,2,509,37,False,0.10134157145002616,0
874,66021.31154,0,1,10,2000,111541.1035,2,21285.81909,4,2,13.23151511,1,1,513,243,False,0.14319744736472687,0
315,42558.99176,2,1,4,800,99425.59466,2,25259.05359,8,1,13.88629974,0,2,448,313,False,0.13976076455149605,0
3072,61624.39652,0,3,10,2500,10138.28065,0,9444.273276,9,1,17.49108448,0,2,258,289,True,0.8244910506697467,1
387,35038.7572,2,0,6,800,132204.9465,2,12578.52159,5,2,13.16295217,0,1,278,-143,False,0.12593479322320264,0
999,38698.41177,2,0,10,1000,109931.3474,0,14603.98145,5,3,19.52442417,1,2,315,319,True,0.20312836255376898,0
139,75645.87461,1,0,3,800,96897.19008,0,11108.77949,6,1,14.91748293,0,1,270,23,False,0.16245542750593064,0
3329,39322.29045,1,4,2,1000,62793.00711,2,21329.14453,5,0,10.3149278,1,0,304,204,True,0.9905877976190476,1
2665,52970.87577,0,4,10,1000,115747.4445,0,21840.05271,9,0,20.75005183,2,1,519,-128,False,0.9533190734918675,1
1027,41476.87041,2,1,4,1000,16617.44171,0,19588.03939,3,2,12.30998914,2,2,421,490,False,0.18143366511070785,0
1675,76571.68355,0,3,2,800,97806.81975,0,29533.21265,6,2,11.37881101,0,2,453,219,True,0.8861999702224158,1
1742,73332.37948,2,3,4,2500,55779.66765,2,24288.82359,1,3,18.21013089,1,2,316,483,False,0.33128158754300424,0
2789,69923.25152,2,5,9,2500,104560.2975,2,22771.73886,10,0,10.34983841,0,0,327,315,False,0.9860119047619047,1
1442,44980.55311,2,3,2,2000,18867.94091,0,10998.15132,8,0,16.82086129,2,2,449,143,False,0.24692144293614884,0
2359,70547.6217,0,0,2,2500,96735.15122,2,25665.59335,1,2,10.76750399,0,2,259,341,True,0.2462081654048564,0
2471,43556.30319,0,0,3,2000,127944.2512,2,29072.48302,10,2,18.65190173,1,2,465,490,False,0.8045333965462638,1
1876,44474.48676,0,0,4,2000,5269.136505,1,6189.495765,1,1,11.32771268,2,2,326,88,True,0.16916865344622706,0
3502,69492.84992,1,4,7,2500,126604.7326,1,18802.09259,3,1,18.05877501,1,0,482,289,False,1.0,1
2801,59731.88559,1,3,1,800,43877.41778,0,16864.1116,2,2,13.10909378,0,0,466,427,True,0.991661976911977,1
1793,53735.38245,1,5,4,2000,108343.9749,1,13337.36185,10,3,14.25406742,0,1,395,388,False,0.9981987179487178,1
1067,64143.87128,1,2,3,1500,27371.3949,0,20825.68631,4,2,20.35091834,2,2,377,318,False,0.24884729403411565,0
1973,64603.71588,2,5,3,2500,46087.26302,1,23319.93579,6,2,18.17886147,2,1,515,-3,False,0.9431479145854145,1
2162,76937.6853,2,3,2,2500,60555.76262,1,14193.00054,4,1,15.99489741,1,2,542,-150,True,0.21513608634013034,0
1670,73204.94173,0,3,9,800,83057.59696,2,25967.35026,10,2,12.61898379,0,1,411,162,False,0.9719318528693529,1
2530,76958.30679,2,3,3,1000,44466.56503,1,17670.34907,5,0,9.611942711,2,1,475,342,True,0.2889916837763199,0
2542,76880.00354,0,2,2,2000,77867.27663,2,5891.299305,2,0,15.45474244,1,2,334,133,True,0.6460777690446807,1
325,64261.86151,0,1,8,1500,110016.7885,1,9121.754265,6,3,11.82395187,2,2,433,255,True,0.11643956742002409,0
2475,55374.07089,0,2,2,2500,89214.32973,0,20001.17784,10,1,18.03535852,0,0,333,-61,True,0.9714929969948352,1
990,56193.29588,0,0,1,2500,50990.57536,1,11993.97827,2,0,12.14797697,1,2,456,318,False,0.14234066260536854,0
1467,75087.64354,0,1,5,800,90702.87983,2,6674.340387,10,0,18.94140028,0,1,355,196,False,0.2553093328240387,0
554,49532.81939,0,1,6,800,27500.24536,1,25333.03152,9,1,13.16133832,2,1,503,505,True,0.3219784636588043,0
2952,48730.55977,2,5,9,1500,95141.92274,0,5218.623738,8,2,16.59546577,1,2,467,425,False,0.9603938783846873,1
718,70465.99893,1,0,1,2000,37551.1493,2,14336.38401,7,0,15.18336527,0,1,574,396,True,0.21894173187923185,0
1941,74449.29485,1,3,1,2000,73040.55391,0,27678.69241,1,2,9.948368181,1,1,559,-71,True,0.6186695410390263,1
1925,44606.92398,0,4,4,2000,108605.0823,1,25324.22026,6,2,19.10580419,2,0,456,234,False,1.0,1
1211,81285.78863,1,0,6,2000,46867.71356,0,7305.810915,1,3,11.36815979,2,1,418,98,False,0.17030517072796486,0
551,75591.61405,2,2,4,1000,58643.71835,2,27494.82872,4,1,16.96360747,1,1,293,-169,False,0.22010590236431946,0
2222,61377.1309,0,5,5,1000,127313.5827,0,11278.11336,8,3,19.48849411,0,2,434,50,True,0.9911638431013431,1
3291,36422.64357,0,4,1,1000,38913.10439,0,15551.86049,3,2,15.42180101,1,1,438,420,False,0.9734372224997226,1
52,57592.62241,0,1,8,1000,104375.2484,1,11312.3357,2,1,13.95610872,1,1,482,-65,True,0.08644854797979797,0
432,49460.95572,2,2,10,800,116513.6825,0,26481.61305,3,1,18.12367072,0,1,516,79,False,0.18888970929741053,0
1483,36166.38596,0,1,1,2000,151464.0621,2,23382.33632,5,1,19.0573809,2,1,370,495,False,0.4448343182552742,0
807,78784.94721,2,3,10,1500,138242.7257,2,18263.6508,5,2,13.90929372,2,1,272,-44,False,0.2887878029156086,0
1376,70114.36531,0,0,3,2500,81645.25981,2,29931.10524,2,1,18.38066698,1,1,517,79,False,0.1990874825531366,0
322,49750.34439,2,1,4,1000,137537.0176,0,27727.89321,2,2,15.06464023,2,1,546,-170,True,0.20146557935528517,0
438,75667.58663,2,3,3,2000,119722.4006,2,20332.1263,6,0,11.20446058,0,2,292,506,False,0.3416513894065172,0
2584,31232.23042,0,4,8,2000,99837.91817,0,6802.488195,9,0,19.8079011,1,2,537,309,True,0.9576951924709276,1
557,31412.47928,1,2,6,1500,39621.68101,0,27598.21642,5,2,12.16168376,0,2,533,516,True,0.34081228260688406,0
144,51886.77844,2,0,3,2000,73668.63569,0,24299.40001,5,1,14.52468651,1,1,564,195,False,0.13416630571226168,0
2984,49841.52174,1,0,4,2500,121564.8405,2,8134.482023,7,3,15.95285783,2,1,386,-88,True,0.19412043389616923,0
932,62170.97116,1,0,9,2000,25950.7078,2,13047.76939,5,1,15.60164743,2,2,503,516,True,0.1993672861795928,0
76,31693.38873,2,1,1,1500,18322.66175,0,10236.2077,8,0,10.60843371,2,1,372,122,False,0.3493937039267919,0
1080,40802.84069,1,1,1,2500,139790.2634,2,9816.381753,6,3,18.23463879,1,2,287,68,False,0.20347427422079123,0
2851,65019.33701,2,4,3,800,112737.2482,0,6687.890872,7,0,12.26239213,2,0,488,465,False,0.9906758207070706,1
17,70680.17455,0,1,10,1000,6325.405653,2,28783.22682,7,1,18.2633343,2,1,267,128,False,0.2813197597251391,0
1564,72288.63885,1,5,4,1000,81511.98679,2,29360.06684,5,1,11.33145781,0,1,320,13,True,0.93872719988345,1
1769,48889.62765,0,0,9,800,33445.02504,1,21798.506,4,3,16.04686919,2,0,278,-2,True,0.9528464695027193,1
736,63565.32604,2,1,4,1500,92955.40317,0,7719.769719,1,2,11.28084461,2,1,489,439,False,0.1629104916733593,0
864,34005.27096,1,0,2,2000,7482.044638,2,17665.17765,4,2,15.38802579,0,1,521,329,True,0.13697989007896136,0
1650,33910.37696,2,1,4,800,65933.26971,1,15071.96896,3,1,15.37478879,1,0,534,-171,False,0.9405170662670662,1
332,53307.33048,1,2,9,800,144093.3238,2,12743.96543,4,1,15.12412751,0,1,343,388,True,0.22436662744934804,0
298,50309.34129,1,0,9,1500,138837.7169,0,8367.176503,7,2,15.00467172,0,2,510,360,False,0.2853570502210208,0
1251,33489.64522,1,2,8,1500,131841.2284,0,8258.662462,5,3,12.10873643,0,2,473,332,False,0.2578082777108513,0
3492,79910.41982,1,2,2,2000,30180.98517,0,18800.42981,9,3,19.47401303,1,2,443,392,True,0.805133493477029,1
3454,75693.89755,2,1,9,2500,145497.4085,2,15654.46842,2,0,9.984860899,0,0,337,-77,True,0.9417039037351538,1
3388,67996.3006,1,5,10,800,139505.121,1,12054.13213,3,2,10.75546699,2,0,399,408,False,0.998125,1
479,56644.19163,0,1,2,800,93782.11924,1,18324.69662,4,0,11.03381782,2,2,382,42,False,0.18172273355729243,0
705,35972.57028,0,1,9,2000,60794.34355,1,23668.03829,7,1,14.64687748,1,1,273,480,True,0.2642624990463613,0
3156,70817.90882,2,5,10,2500,152666.0834,2,17541.6594,9,0,9.600250298,2,2,507,397,False,0.8807465862203674,1
3493,57896.09464,0,3,6,2500,141798.0477,1,7136.954222,4,0,15.03863702,2,2,517,118,False,0.8563055531070236,1
279,72721.39141,1,1,10,800,115375.8041,1,30796.03379,6,2,17.56092229,1,1,264,234,False,0.29073496218049244,0
1791,35873.71979,1,0,2,2500,113681.6622,1,9458.732299,6,0,17.87393917,1,0,452,338,True,0.9504204545454545,1
948,63949.50454,2,2,10,1000,64651.15732,2,18906.66054,1,1,12.55453799,0,2,276,-99,False,0.22942750702599773,0
3116,36809.40035,2,5,2,1000,111543.7865,1,26623.16737,2,3,18.70035467,1,0,351,504,True,0.9923336385836385,1
486,54814.64103,1,0,7,800,73006.9294,1,28873.76778,3,3,12.28282307,0,1,335,114,False,0.16129060645237117,0
2561,70786.79921,0,3,2,2000,142502.314,2,17053.66396,7,2,15.03044223,1,0,349,-128,False,0.9950595238095238,1
3091,74489.00975,1,5,2,2500,52996.99362,0,28413.14578,9,2,16.0552813,0,2,564,466,True,0.9437008997946498,1
3213,55212.72568,2,5,7,2500,89226.96979,1,16774.69441,3,2,14.517128,1,2,289,-25,True,0.9407726023976022,1
1569,47480.41664,1,3,4,2500,35678.57285,1,5939.477912,1,0,12.26406433,1,2,519,-24,True,0.7644884080380406,1
2227,74930.35539,0,2,5,800,102417.3423,2,26958.95587,8,2,18.99281239,2,0,494,-37,True,0.9878726383910208,1
3028,79473.89932,1,3,6,2500,86744.56895,0,18245.27479,6,3,17.31502897,0,0,285,222,True,0.9729639294529,1
937,44320.31315,1,1,3,1000,121982.387,1,14464.0566,2,1,20.43419851,0,1,516,308,False,0.14026886246923018,0
1659,76799.75334,0,4,6,800,25874.92507,1,19629.89873,6,0,11.61814078,0,1,252,390,True,0.9481269980019981,1
203,42195.19252,2,0,3,800,80152.30229,0,7604.038401,8,0,17.16925434,1,1,446,108,True,0.1848998088899406,0
3398,63526.94721,0,4,8,1000,83785.24916,2,18456.88815,9,1,11.92851396,0,2,450,217,True,0.9690077838827839,1
351,53833.29691,2,0,3,800,52246.76416,0,16856.74312,7,3,19.59564546,1,1,476,489,False,0.28779205496301086,0
1610,76521.90543,1,4,3,2500,91947.76699,2,18460.88251,2,2,15.06737817,2,1,308,92,True,0.9796992764180266,1
2755,53659.67712,1,0,1,2000,136585.0161,1,11286.41544,6,3,12.75771186,1,1,287,391,False,0.165292798554215,0
30,50598.39035,2,1,1,1000,16883.29295,2,9972.707693,2,0,17.1251437,2,2,427,-110,False,0.17214378781465423,0
839,41595.83837,2,1,8,800,88335.8275,0,9317.535289,6,2,19.40802335,0,1,304,-111,True,0.11324307636807646,0
721,63414.76673,0,1,8,1500,60162.05618,1,10905.71967,7,1,11.23268545,2,2,564,38,False,0.11928456061911943,0
1270,53595.33272,1,1,5,1500,123982.1173,2,18590.05618,2,2,10.37831703,1,1,560,373,True,0.11219263028638027,0
538,37020.44941,0,0,1,2000,18930.68113,0,20023.03414,1,3,13.90927539,2,2,399,-144,False,0.2369908571820338,0
450,50022.16849,2,1,5,2500,16319.40127,2,27327.20483,1,0,14.92211789,1,1,430,495,True,0.2275376809027072,0
1373,48996.35202,1,0,5,1000,114605.7035,0,14903.67524,3,3,19.35515412,0,1,328,-117,False,0.16237980769230778,0
2688,40205.8522,2,4,8,2000,5231.42793,1,11636.91795,9,0,18.11830056,1,0,394,477,True,0.9809471153846154,1
1135,79887.59068,2,2,2,2000,8320.727439,2,24739.33445,1,1,18.77804393,2,2,342,223,True,0.1909689320827092,0
2119,37139.61644,1,1,7,2000,31733.40382,2,25052.98729,1,1,10.04536137,1,1,448,491,True,0.2649650892142101,0
921,69978.00551,2,1,8,2500,59593.78423,2,18301.33663,7,2,13.13937611,1,1,474,224,True,0.22125147381213567,0
1578,50983.63028,1,1,10,2500,51436.39049,2,22600.04364,6,2,10.30124866,1,0,389,259,True,0.9506917735042734,1
2529,69752.5687,1,5,5,1500,64120.02497,0,10170.28164,6,2,16.45430928,1,0,562,497,True,0.9943630952380951,1
2588,52668.87503,1,3,4,1000,62534.09227,1,5792.02341,10,2,14.53254181,2,0,264,-79,True,0.9898434065934066,1
170,74940.74246,2,1,5,2000,14995.35986,2,20045.89452,1,1,16.90131462,0,2,541,166,False,0.10825580469582023,0
2124,35113.66688,0,1,6,1000,108913.8067,0,8905.526456,6,3,13.91317433,1,0,470,504,True,0.9619703282828285,1
463,58010.24819,2,1,1,800,91526.8046,0,12407.7604,4,3,10.76566307,1,1,488,99,False,0.07969949239357131,0
251,63671.42895,1,2,3,800,17637.70647,0,26224.75041,7,2,13.81410477,1,2,343,98,True,0.28420125729104073,0
1488,64492.31479,0,0,1,1000,25827.43085,2,12697.06138,4,0,17.96237428,0,2,528,26,True,0.12347471441956744,0
478,70585.47103,1,2,10,800,87814.03122,1,13511.29628,3,3,15.73584302,1,1,479,176,True,0.2050820150029709,0
1739,52361.43688,2,4,4,2000,26663.29386,0,14070.03612,3,3,17.16505765,2,1,329,-58,True,0.8960119671994672,1
2287,73029.80201,1,4,4,800,102310.5413,0,8885.116559,9,1,17.76194714,0,1,499,448,False,0.9480774884837386,1
2340,55304.60206,1,4,2,1000,115885.3563,0,9921.464295,7,1,11.45379403,2,0,302,-3,True,0.9978392857142857,1
