Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Last_Service_Date,Warranty_Expiry_Date,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Need_Maintenance
Truck,36123.88615,Average,1,4,Diesel,Manual,2000,2986.819046,4/8/2023,31/7/2025,Third,26080.03786,8,0,17.78229528,Worn Out,New,0
Truck,70505.72128,Average,1,5,Diesel,Manual,2500,10648.81428,17/10/2023,5/9/2024,Third,18329.35622,3,1,20.42055841,Good,New,0
Truck,33543.09622,Poor,0,7,Petrol,Automatic,1000,83270.97584,18/10/2023,27/10/2025,Third,17806.08885,5,1,20.36726902,Good,New,0
Truck,57475.63314,Good,1,3,Diesel,Automatic,2500,146538.7695,14/12/2023,14/2/2026,First,21012.96943,8,1,10.47975764,Worn Out,New,0
Truck,44159.68879,Good,1,9,Petrol,Automatic,800,98270.1031,31/10/2023,17/3/2026,Second,9662.087447,4,1,16.83779384,Good,New,0
Truck,62715.64654,Average,0,3,Electric,Manual,2000,104663.5236,5/1/2024,23/8/2025,Second,25634.37666,9,1,13.80918839,Worn Out,New,0
Truck,41789.59547,Average,2,10,Electric,Manual,2000,10766.39989,27/7/2023,14/9/2024,Second,11677.15274,9,0,10.11921669,Worn Out,Good,0
Truck,72719.03352,Average,0,7,Petrol,Automatic,2500,120140.8277,10/8/2023,6/6/2025,Second,13040.4629,1,0,12.70093614,Worn Out,New,0
Truck,47242.87539,Poor,1,9,Diesel,Automatic,1000,12114.72137,29/4/2023,30/1/2025,Second,13457.0253,6,2,18.69787701,Worn Out,Good,0
Truck,55771.94169,Poor,0,5,Electric,Automatic,1000,102338.3316,8/6/2023,31/5/2025,Second,14746.86402,9,1,10.52841764,Good,New,0
Truck,81853.46272,Good,0,8,Petrol,Automatic,800,74323.77885,2/1/2024,22/4/2025,Third,6865.055432,7,3,15.48989773,Good,Good,0
Truck,37026.04422,Poor,0,9,Diesel,Manual,1000,136725.96,2/6/2023,11/6/2024,Second,20239.21166,2,0,13.62621107,Worn Out,Good,0
Truck,46839.65073,Good,0,2,Petrol,Manual,1000,18339.00317,15/11/2023,3/7/2024,Second,22560.36706,4,3,10.80200782,New,New,0
Truck,33046.77797,Poor,1,9,Diesel,Manual,1500,47286.82797,8/12/2023,29/4/2024,Second,21337.75126,3,0,18.28179075,Worn Out,New,0
Truck,75645.87461,Average,0,3,Petrol,Automatic,800,96897.19008,28/1/2024,17/11/2024,First,11108.77949,6,1,14.91748293,Worn Out,Good,0
Truck,30742.64065,Good,2,7,Electric,Automatic,1500,109615.4129,20/7/2023,5/6/2025,First,26749.41814,8,1,9.926353314,Good,New,0
Truck,63004.2598,Good,0,7,Diesel,Manual,2500,108714.2659,3/7/2023,22/12/2025,Second,17897.71909,2,2,11.69827549,Worn Out,Good,0
Truck,52057.92537,Poor,0,7,Diesel,Automatic,1000,100703.4906,6/10/2023,18/4/2025,First,7352.659111,4,3,10.27584004,Good,New,0
Truck,60946.96948,Good,1,4,Diesel,Automatic,1500,132140.8595,18/12/2023,4/10/2025,Third,27274.92852,4,2,13.0044724,New,Good,0
Truck,51886.77844,Good,0,3,Electric,Automatic,2000,73668.63569,9/4/2023,8/5/2025,First,24299.40001,5,1,14.52468651,Good,Good,0
Truck,56916.84495,Average,2,7,Petrol,Manual,1000,6458.978276,4/1/2024,14/3/2025,Second,13150.84681,5,3,11.49691033,Worn Out,Good,0
Truck,39685.18072,Average,0,5,Diesel,Automatic,800,131940.4334,29/4/2023,17/5/2024,Third,4976.823699,5,1,13.27842824,Good,New,0
Truck,36688.61848,Good,3,5,Electric,Automatic,2000,48839.25854,6/10/2023,25/1/2025,Third,29708.98704,7,0,17.41309817,Good,New,0
Truck,53035.52291,Average,2,10,Electric,Manual,800,19359.82094,28/9/2023,3/2/2026,First,23321.99677,10,0,16.56573636,Worn Out,Good,0
Truck,66484.81372,Good,0,1,Electric,Manual,2500,14906.8448,27/5/2023,20/2/2025,Second,12589.9682,3,3,18.34195792,New,Good,0
Truck,74659.60166,Good,1,3,Petrol,Manual,1000,98934.7508,26/1/2024,29/11/2025,Second,14687.99986,4,0,19.93033903,Good,New,0
Truck,33732.9171,Good,0,1,Diesel,Automatic,800,146467.5255,30/12/2023,11/7/2024,First,6044.840084,1,3,10.47788147,Good,Good,0
Truck,78915.31205,Poor,0,9,Petrol,Automatic,800,95429.26777,27/8/2023,28/1/2025,Second,22438.51577,5,3,13.77735842,Good,Good,0
Truck,34833.63765,Average,0,8,Electric,Automatic,1500,39728.37417,14/9/2023,9/1/2026,Second,21521.55459,3,0,19.22745162,Good,Good,0
Truck,39790.64305,Average,2,2,Electric,Automatic,1000,39343.37412,12/4/2023,8/7/2025,Second,22925.11875,8,1,13.27256154,New,New,0
Truck,78956.38703,Average,0,3,Diesel,Automatic,2500,86377.1128,7/11/2023,1/8/2025,Third,25078.07135,2,1,19.02954385,Good,New,0
Truck,70084.82765,Good,1,4,Petrol,Manual,2000,89707.99484,3/5/2023,21/12/2025,First,23488.01164,1,2,14.38988292,Worn Out,Good,0
Truck,64373.50549,Poor,1,3,Diesel,Manual,800,126098.036,2/10/2023,20/3/2025,Third,14784.46327,3,3,12.2259698,New,New,0
Truck,30367.34005,Good,0,9,Electric,Manual,800,94801.57874,14/4/2023,21/4/2025,First,23604.70287,1,0,17.87556983,Worn Out,New,0
Truck,69754.60299,Average,2,10,Electric,Automatic,1000,81876.7875,30/5/2023,28/12/2024,First,20636.40134,4,3,17.96960897,Good,Good,0
Truck,44514.2875,Good,1,2,Electric,Automatic,2000,75326.86076,12/11/2023,8/12/2024,Third,17389.29744,3,3,14.25543568,Good,Good,0
Truck,34951.80947,Good,3,10,Electric,Automatic,1500,38913.7385,8/7/2023,1/2/2026,Third,11718.77605,3,0,18.30095526,Good,Good,0
Truck,72581.74532,Average,0,3,Petrol,Automatic,1000,146826.0234,16/9/2023,22/1/2026,First,23052.35898,5,2,14.99730405,New,New,0
Truck,61632.71993,Good,3,4,Petrol,Manual,1500,97829.77072,2/8/2023,23/5/2025,Third,29334.45081,3,1,12.39905884,New,New,0
Truck,38927.05613,Good,1,5,Diesel,Manual,2000,79128.61556,17/12/2023,17/6/2024,First,12365.92567,4,2,14.80087132,Good,Good,0
Truck,68013.76668,Good,0,4,Diesel,Manual,1000,32851.17648,22/12/2023,2/10/2025,Second,12237.59296,6,1,14.20074044,New,New,0
Truck,46600.63388,Poor,0,8,Electric,Manual,800,132648.6166,28/1/2024,14/8/2025,Second,9836.134883,5,2,18.31879781,Good,Good,0
Truck,32571.60295,Average,2,5,Electric,Manual,2000,76218.82187,16/7/2023,3/3/2026,Third,16445.97685,2,2,11.97423347,Good,New,0
Truck,61928.31541,Poor,1,8,Electric,Manual,800,29409.94856,9/11/2023,12/6/2025,Second,22570.36944,5,0,18.95770381,New,New,0
Truck,51604.47204,Poor,0,10,Petrol,Automatic,1000,1547.601968,28/11/2023,12/12/2024,Third,8611.610483,5,3,14.3463616,Worn Out,New,0
Truck,74940.74246,Good,1,5,Electric,Automatic,2000,14995.35986,2/5/2023,9/4/2025,Third,20045.89452,1,1,16.90131462,Worn Out,New,0
Truck,38711.36409,Average,0,3,Electric,Automatic,1500,92668.83728,13/4/2023,11/6/2025,Second,9149.303231,3,2,13.05462603,Worn Out,New,0
Truck,48031.90838,Average,0,6,Electric,Manual,2000,127524.5575,23/10/2023,15/8/2024,First,23120.58524,6,1,14.65565706,New,New,0
Truck,54317.54738,Good,1,7,Electric,Automatic,2500,5645.292802,3/2/2024,4/6/2024,Third,10110.65333,7,3,18.88346722,New,Good,0
Truck,69073.72403,Poor,0,6,Petrol,Automatic,2000,31366.24075,25/11/2023,17/7/2024,Second,20618.88012,7,2,11.23558269,New,New,0
Truck,68794.76175,Good,2,2,Petrol,Manual,1500,92709.60739,21/11/2023,7/8/2024,Second,7703.810315,9,1,13.75777732,New,New,0
Truck,58176.19445,Good,3,2,Electric,Automatic,1000,121928.2189,3/2/2024,10/11/2024,Third,14265.38684,3,0,17.55415123,Good,Good,0
Truck,34169.58983,Poor,1,5,Petrol,Manual,2500,77000.73668,9/7/2023,8/5/2025,Third,18554.85053,5,2,19.06187844,Good,Good,0
Truck,61815.93365,Average,0,2,Petrol,Automatic,1000,70778.50032,12/1/2024,26/10/2024,First,14388.89323,6,3,15.42207451,New,Good,0
